,Czech Republic,France,United Kingdom,Belgium,Spain,Denmark,Sweden,Finland,Norway,Russia,Italy,Poland,Germany,Greece,Portugal
Against cohabitation without marriage,42,8,19,12,16,4,6,18,12,39,46,39,20,30,17
Belief in God,36,52,65,61,76,63,46,69,56,77,91,96,63,93,86
Confidence in Government,21,34,19,32,35,55,54,42,51,60,28,23,29,22,30
Confidence in the church,20,41,36,36,31,63,39,47,44,67,67,65,40,52,67
Confidence in the health care system,42,78,80,91,79,75,75,73,74,51,54,44,34,39,58
Confidence in the justice system,35,56,51,50,42,87,69,73,78,41,36,44,58,50,48
Against abortion,51,44,57,56,57,28,25,40,42,63,72,75,60,65,61
Not as a neighbour: homosexuals,22,5,10,7,5,5,7,12,6,61,21,52,16,30,21
Attend church at least once a week,13,11,17,15,21,5,9,7,9,8,35,54,12,19,25
